province,year,solar_capacity_addition_10k_kw,solar_capacity_addition_10k_kw_wind_code,wind_capacity_addition_10k_kw,wind_capacity_addition_10k_kw_wind_code,wind_capacity_10k_kw,wind_capacity_10k_kw_wind_code,wind_capacity_addition_from_stock_10k_kw,solar_capacity_10k_kw,solar_capacity_10k_kw_wind_code,solar_capacity_addition_from_stock_10k_kw
Anhui,2000,,,,,,,,,,
Anhui,2001,,,,,,,,,,
Anhui,2002,,,,,,,,,,
Anhui,2003,,,,,,,,,,
Anhui,2004,,,,,,,,,,
Anhui,2005,,,,,,,,,,
Anhui,2006,,,,,,,,,,
Anhui,2007,,,,,,,,,,
Anhui,2008,,,,,,,,,,
Anhui,2009,,,,,,,,,,
Anhui,2010,,,,,,,,,,
Anhui,2011,,,,,,,,,,
Anhui,2012,,,,,,,,,,
Anhui,2013,,,,,,,,,,
Anhui,2014,34.97,N3493692,,,,,,,,
Anhui,2015,80.87,N3493692,,,,,,,,
Anhui,2016,224.52,N3493692,,,,,,,,
Anhui,2017,542.49,N3493692,,,,,,,,
Anhui,2018,229.82,N3493692,,,,,,,,
Anhui,2019,136.1,N3493692,,,,,,,,
Anhui,2020,123.35,N3493692,,,,,,,,
Anhui,2021,329.73,N3493692,,,,,,,,
Anhui,2022,447.09,N3493692,,,,,,,,
Anhui,2023,1069.13,N3493692,,,,,,,,
Beijing,2000,,,,,,,,,,
Beijing,2001,,,,,,,,,,
Beijing,2002,,,,,,,,,,
Beijing,2003,,,,,,,,,,
Beijing,2004,,,,,,,,,,
Beijing,2005,,,,,,,,,,
Beijing,2006,,,,,,,,,,
Beijing,2007,,,,,,,,,,
Beijing,2008,,,,,,,,,,
Beijing,2009,,,,,,,,,,
Beijing,2010,,,,,,,,,,
Beijing,2011,,,,,,,,,,
Beijing,2012,,,,,,,,,,
Beijing,2013,,,,,,,,,,
Beijing,2014,,,,,,,,,,
Beijing,2015,,,,,,,,,,
Beijing,2016,,,,,,,,,,
Beijing,2017,,,,,,,,,,
Beijing,2018,,,,,,,,,,
Beijing,2019,,,,,,,,,,
Beijing,2020,,,,,,,,,,
Beijing,2021,,,,,,,,,,
Beijing,2022,,,,,,,,,,
Beijing,2023,,,,,,,,,,
Chongqing,2000,,,,,,,,,,
Chongqing,2001,,,,,,,,,,
Chongqing,2002,,,,,,,,,,
Chongqing,2003,,,,,,,,,,
Chongqing,2004,,,,,,,,,,
Chongqing,2005,,,,,,,,,,
Chongqing,2006,,,,,,,,,,
Chongqing,2007,,,,,,,,,,
Chongqing,2008,,,,,,,,,,
Chongqing,2009,,,,,,,,,,
Chongqing,2010,,,,,,,,,,
Chongqing,2011,,,,,,,,,,
Chongqing,2012,,,,,,,,,,
Chongqing,2013,,,,,,,,,,
Chongqing,2014,0.01,J4082493,0.17,O5351302,,,,,,
Chongqing,2015,0.06,J4082493,13.2,O5351302,,,,,,
Chongqing,2016,0.4,J4082493,4.95,O5351302,,,,,,
Chongqing,2017,12.07,J4082493,4.95,O5351302,,,,,,
Chongqing,2018,30.25,J4082493,17.0,O5351302,,,,,,
Chongqing,2019,21.93,J4082493,11.0,O5351302,,,,,,
Chongqing,2020,2.37,J4082493,36.77,O5351302,,,,,,
Chongqing,2021,-3.68,J4082493,74.16,O5351302,,,,,,
Chongqing,2022,5.04,J4082493,9.68,O5351302,,,,,,
Chongqing,2023,91.2,J4082493,23.27,O5351302,,,,,,
Fujian,2000,,,,,,,,,,
Fujian,2001,,,,,,,,,,
Fujian,2002,,,,,,,,,,
Fujian,2003,,,,,,,,,,
Fujian,2004,,,,,,,,,,
Fujian,2005,,,,,,,,,,
Fujian,2006,,,,,,,,,,
Fujian,2007,,,,,,,,,,
Fujian,2008,,,,,,,,,,
Fujian,2009,,,,,,,,,,
Fujian,2010,,,,,,,,,,
Fujian,2011,,,,,,,,,,
Fujian,2012,,,,,,,,,,
Fujian,2013,,,,,,,,,,
Fujian,2014,,,,,,,,,,
Fujian,2015,,,,,,,,,,
Fujian,2016,,,,,,,,,,
Fujian,2017,,,,,,,,,,
Fujian,2018,,,,,,,,,,
Fujian,2019,,,,,,,,,,
Fujian,2020,,,,,,,,,,
Fujian,2021,,,,,,,,,,
Fujian,2022,,,,,,,,,,
Fujian,2023,,,,,,,,,,
Gansu,2000,,,,,,,,,,
Gansu,2001,,,,,,,,,,
Gansu,2002,,,,,,,,,,
Gansu,2003,,,,,,,,,,
Gansu,2004,,,,,,,,,,
Gansu,2005,,,,,,,,,,
Gansu,2006,,,,,,,,,,
Gansu,2007,,,,,,,,,,
Gansu,2008,,,,,,,,,,
Gansu,2009,,,,,,,,,,
Gansu,2010,,,,,,,,,,
Gansu,2011,,,,,,,,,,
Gansu,2012,,,,,,,,,,
Gansu,2013,,,,,,,,,,
Gansu,2014,87.42,K9832313,304.75,H5578044,1007.56,C8541763,,,,
Gansu,2015,92.34,K9832313,244.65,H5578044,1252.21,C8541763,244.6500000000001,,,
Gansu,2016,76.34,K9832313,24.97,H5578044,1277.18,C8541763,24.970000000000027,,,
Gansu,2017,99.78,K9832313,4.95,H5578044,1282.13,C8541763,4.9500000000000455,,,
Gansu,2018,53.63,K9832313,0.0,H5578044,1282.13,C8541763,0.0,,,
Gansu,2019,84.22,K9832313,15.06,H5578044,1297.19,C8541763,15.059999999999945,,,
