province,province_cn,year,renewable_consumption_100m_kwh,renewable_consumption_share,renewable_consumption_share_yoy_pp,nonhydro_renewable_consumption_100m_kwh,nonhydro_renewable_consumption_share,nonhydro_renewable_consumption_share_yoy_pp,nonhydro_renewable_benchmark_2020_share,source_report,source_url,renewable_minimum_target_share,nonhydro_renewable_minimum_target_share,re_cons_sh,nonhydro_re_cons_sh
Anhui,安徽,2015,157.0,0.096,,64.0,0.039,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.096,0.039
Anhui,安徽,2016,221.0,0.12300000000000001,2.7,110.0,0.061,2.2,0.07,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.12300000000000001,0.061
Anhui,安徽,2017,274.0,0.14300000000000002,2.0,169.0,0.08800000000000001,2.7,0.07,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.14300000000000002,0.08800000000000001
Anhui,安徽,2018,317.06,0.149,0.6,235.82,0.11,2.2,0.115,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.149,0.11
Anhui,安徽,2019,363.0,0.157,0.8,284.0,0.12300000000000001,1.3,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.157,0.12300000000000001
Anhui,安徽,2020,427.0,0.17600000000000002,1.9,330.0,0.136,1.3,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.15,0.125,0.17600000000000002,0.136
Anhui,安徽,2021,524.0,0.193,1.7,434.0,0.16,2.4,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.16,0.14,0.193,0.16
Anhui,安徽,2022,614.0,0.205,1.2,530.0,0.177,1.7,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.185,0.153,0.205,0.177
Anhui,安徽,2023,,0.223,1.8,,0.193,1.6,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.196,0.165,0.223,0.193
Beijing,北京,2015,81.0,0.085,,72.0,0.076,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.085,0.076
Beijing,北京,2016,107.0,0.105,2.0,91.0,0.09,1.4,0.1,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.105,0.09
Beijing,北京,2017,130.0,0.121,1.6,111.0,0.10400000000000001,1.4,0.1,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.121,0.10400000000000001
