province,year,policy_count,docs_with_content,content_coverage,content_chars,green_finance,green_finance_doc_count,green_finance_per_10k_chars,green_finance_doc_share,green_finance_per_policy,coal_clean,coal_clean_doc_count,coal_clean_per_10k_chars,coal_clean_doc_share,coal_clean_per_policy,pollution_control,pollution_control_doc_count,pollution_control_per_10k_chars,pollution_control_doc_share,pollution_control_per_policy,renewable,renewable_doc_count,renewable_per_10k_chars,renewable_doc_share,renewable_per_policy
山西,2002,4,4,1.00000000,17209,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000,0,0,0.00000000,0.00000000,0.00000000
山西,2003,60,60,1.00000000,214885,0,0,0.00000000,0.00000000,0.00000000,333,14,15.49666100,0.23333333,5.55000000,6,3,0.27921912,0.05000000,0.10000000,3,2,0.13960956,0.03333333,0.05000000
山西,2004,93,93,1.00000000,334992,13,2,0.38806897,0.02150538,0.13978495,462,25,13.79137412,0.26881720,4.96774194,17,9,0.50747481,0.09677419,0.18279570,4,3,0.11940584,0.03225806,0.04301075
山西,2005,96,96,1.00000000,315731,7,3,0.22170772,0.03125000,0.07291667,1177,40,37.27856942,0.41666667,12.26041667,38,11,1.20355619,0.11458333,0.39583333,6,4,0.19003519,0.04166667,0.06250000
山西,2006,112,112,1.00000000,807037,13,8,0.16108307,0.07142857,0.11607143,1205,46,14.93116177,0.41071429,10.75892857,295,21,3.65534666,0.18750000,2.63392857,71,14,0.87976140,0.12500000,0.63392857
山西,2007,138,138,1.00000000,841480,7,6,0.08318677,0.04347826,0.05072464,2354,59,27.97452108,0.42753623,17.05797101,141,21,1.67561915,0.15217391,1.02173913,73,12,0.86751913,0.08695652,0.52898551
山西,2008,116,116,1.00000000,524975,23,9,0.43811610,0.07758621,0.19827586,1165,47,22.19153293,0.40517241,10.04310345,256,19,4.87642269,0.16379310,2.20689655,80,14,1.52388209,0.12068966,0.68965517
山西,2009,168,168,1.00000000,739546,37,16,0.50030695,0.09523810,0.22023810,1622,64,21.93237473,0.38095238,9.65476190,159,28,2.14996768,0.16666667,0.94642857,85,15,1.14935379,0.08928571,0.50595238
山西,2010,101,101,1.00000000,456858,11,11,0.24077503,0.10891089,0.10891089,556,40,12.17008348,0.39603960,5.50495050,183,17,4.00562100,0.16831683,1.81188119,41,10,0.89743421,0.09900990,0.40594059
山西,2011,99,99,1.00000000,444232,7,6,0.15757532,0.06060606,0.07070707,534,35,12.02074592,0.35353535,5.39393939,46,15,1.03549497,0.15151515,0.46464646,89,11,2.00345765,0.11111111,0.89898990
山西,2012,117,117,1.00000000,634848,32,18,0.50405766,0.15384615,0.27350427,549,35,8.64773930,0.29914530,4.69230769,232,14,3.65441807,0.11965812,1.98290598,74,14,1.16563335,0.11965812,0.63247863
山西,2013,152,152,1.00000000,793461,7,5,0.08822110,0.03289474,0.04605263,896,54,11.29230044,0.35526316,5.89473684,186,33,2.34416058,0.21710526,1.22368421,256,31,3.22637155,0.20394737,1.68421053
山西,2014,144,144,1.00000000,611967,19,14,0.31047426,0.09722222,0.13194444,698,38,11.40584378,0.26388889,4.84722222,166,28,2.71256457,0.19444444,1.15277778,364,16,5.94803315,0.11111111,2.52777778
山西,2015,185,184,0.99459459,851503,24,18,0.28185456,0.09729730,0.12972973,775,53,9.10155337,0.28648649,4.18918919,234,31,2.74808192,0.16756757,1.26486486,111,25,1.30357732,0.13513514,0.60000000
山西,2016,260,260,1.00000000,1250343,33,22,0.26392758,0.08461538,0.12692308,1574,68,12.58854570,0.26153846,6.05384615,176,43,1.40761375,0.16538462,0.67692308,479,41,3.83094879,0.15769231,1.84230769
山西,2017,288,288,1.00000000,1315857,45,29,0.34198245,0.10069444,0.15625000,634,65,4.81815273,0.22569444,2.20138889,334,47,2.53826974,0.16319444,1.15972222,402,46,3.05504322,0.15972222,1.39583333
山西,2018,204,204,1.00000000,904944,38,16,0.41991549,0.07843137,0.18627451,474,38,5.23789317,0.18627451,2.32352941,228,23,2.51949292,0.11274510,1.11764706,128,26,1.41445216,0.12745098,0.62745098
山西,2019,177,176,0.99435028,597100,16,10,0.26796182,0.05649718,0.09039548,325,33,5.44297438,0.18644068,1.83615819,101,19,1.69150896,0.10734463,0.57062147,78,23,1.30631385,0.12994350,0.44067797
山西,2020,324,324,1.00000000,1122937,41,27,0.36511398,0.08333333,0.12654321,661,33,5.88634981,0.10185185,2.04012346,107,32,0.95285844,0.09876543,0.33024691,79,19,0.70351231,0.05864198,0.24382716
山西,2021,333,333,1.00000000,1855109,62,29,0.33421217,0.08708709,0.18618619,689,53,3.71406748,0.15915916,2.06906907,297,55,1.60098409,0.16516517,0.89189189,511,38,2.75455512,0.11411411,1.53453453
山西,2022,369,368,0.99728997,1560189,77,39,0.49352995,0.10569106,0.20867209,935,61,5.99286369,0.16531165,2.53387534,469,51,3.00604606,0.13821138,1.27100271,550,60,3.52521393,0.16260163,1.49051491
山西,2023,334,334,1.00000000,1407895,61,26,0.43327095,0.07784431,0.18263473,1055,47,7.49345654,0.14071856,3.15868263,321,34,2.27999957,0.10179641,0.96107784,488,45,3.46616758,0.13473054,1.46107784
